Origine,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Suisse,24902,25710,26776,27655,30479,29487,27864,26800,26311,29756,30026,28489,28496,30103,30565,31840
Europe,39107,36789,38275,40036,42773,45761,42899,43980,52493,49654,54574,56664,61710,65563,68215,71495
Afrique,1847,1789,1960,2011,2103,2088,2190,2070,2245,2722,3272,3913,3629,3400,3627,3596
AmeriqueNord,3831,3424,3475,3263,3644,3234,3567,3558,4461,4051,4087,4334,4159,4320,4043,3660
AmeriqueLatine,2064,2151,2214,2205,2445,2434,2370,2485,2766,2672,2947,2941,2818,2689,2710,2566
Asie,6026,6250,6473,6284,6225,6640,6689,6564,7896,6964,8244,9081,9464,9713,10722,11067
Océanie,636,634,548,626,540,523,546,574,655,562,616,628,616,617,603,621
